text,label
charsi,1
I’m glad this showed up in my recommendations.,0
कुत्ते की औलाद,1
Just delete this.,1
Explanation thik hai.,0
वीडियो देखना आसान है।,0
r*ndi,1
aisa banda kisi kaam ka nahi hota,1
sh*t,1
वीडियो सामान्य है।,0
Get your dumb ass off the internet.,1
Absolute L.,1
Video thik lag raha hai.,0
Video normal hai.,0
कंटेंट ठीक है।,0
chutiye chodunga nhi.,1
Video informative hai.,0
प्रस्तुति साफ है।,0
ch*tiya,1
Bhai kya L take hai.,1
इतनी गलत बात कैसे बोल सकते हो।,1
बकचोदी,1
The explanation seems decent.,0
प्रेझेंटेशन ठीक आहे.,0
भोसड़िया,1
"Bandh kar de ye post karna, tere bas ka nahi hai ye sab",1
Bhai pagal hai kya?,1
I can’t believe people like this exist.,1
नालायक कमीना,1
you act like you have no logic,1
वीडियो ठीक लगता है।,0
स्पष्टीकरण साधे आहे.,0
स्पष्टीकरण सोपे आहे.,0
Topic samajh me aata hai.,0
विषय स्पष्ट है।,0
Bhai tu bas complain karta rehta hai.,1
I noticed the example around the middle of the video.,0
harami,1
Try using your brain next time.,1
bullshit,1
जानकारी साफ है।,0
lavda,1
This whole channel is embarrassing.,1
Yeh video randomly recommend hua.,0
माहिती उपयोगी आहे.,0
big clown energy,1
Explanation is simple.,0
वीडियो देखना आसान है।,0
tu sabka mood kharab karta hai,1
The content seems clear.,0
k*ttiya,1
The video explanation is clear.,0
विषय समजतो.,0
The information is basic.,0
The pacing felt steady throughout.,0
Bhai tu bilkul dumb lag raha hai.,1
Concept clear hai.,0
विषय साफ बताया गया है।,0
The topic is explained in a normal way.,0
जानकारी ठीक है।,0
जानकारी स्पष्ट है।,0
This is why people hate the internet.,1
The video is straightforward.,0
गांड मार,1
व्हिडिओ ठीक आहे.,0
This is bullshit.,1
cl*wn,1
The explanation is easy.,0
This must have taken zero brain cells.,1
This is painful to read.,1
गांडू,1
Bhai log has rahe hain tujhpe.,1
वीडियो ठीक है।,0
This post is garbage.,1
Explanation thik hai.,0
माहिती उपयोगी आहे.,0
faltu gyaan,1
bewakoof,1
प्रस्तुति साफ है।,0
जानकारी ठीक लग रही है।,0
जानकारी साफ है।,0
वीडियो का विषय समझ आया।,0
l*vde,1
पागल आदमी,1
The concept is basic but clear.,0
Bhai log has rahe honge ye dekh ke.,1
Nobody takes you seriously.,1
This looks disgusting,1
k*tte,1
विषय ठीक है।,0
वीडियो सामान्य है।,0
रंडापना,1
Topic clear hai.,0
साला,1
The information looks clear.,0
Stop spreading nonsense.,1
लंड,1
Explanation samajh aaya.,0
प्रस्तुति ठीक है।,0
this is trash-level thinking,1
you look dumb af,1
Bhai ye sab band kar.,1
ch**iya,1
Ain’t no way.,1
Abhi iske baare mein clear opinion nahi hai.,0
Content thik lagta hai.,0
Bhai tu bas bak bak karta hai.,1
जानकारी समझ में आती है।,0
Ye sab logic Twitter pe bhi nahi chalta.,1
Bhai tu bas provoke kar raha hai.,1
The video presentation is clear.,0
झवायला,1
Stop embarrassing yourself online.,1
Tera content din ba din kharab ho raha hai.,1
जानकारी सामान्य है।,0
bakchodi,1
जानकारी उपयोगी है।,0
वीडियो ठीक लगता है।,0
आळशी,1
विषय ठीक है।,0
chutiye,1
k*tte ki aul*d,1
This is the dumbest thing I’ve seen today.,1
This is comedy at this point.,1
tu kahi sudharnaar nahi,1
वीडियो का तरीका अच्छा है।,0
Video dekhna easy hai.,0
The video explanation is understandable.,0
The video seems balanced.,0
clout chaser,1
The video flow is smooth.,0
you bring zero value anywhere,1
The content appears normal.,0
ये किस तरह की सोच है।,1
भ*वा,1
tu lokanna disturb karto re,1
Topic easy hai.,0
bh*dwa,1
g*ndf*d,1
विषय ठीक है।,0
The video seems clear.,0
This topic doesn’t get discussed much.,0
गा*ड,1
Content easy hai.,0
औकात दिखा दी,1
aisa faltu banda maine nahi dekha,1
d*ck,1
माहिती उपयोगी आहे.,0
गांडखोर,1
विषय समजतो.,0
कमीनी,1
अंत में दिया गया पॉइंट दिलचस्प था।,0
जानकारी सामान्य लेकिन ठीक है।,0
गांडू,1
This post is useless.,1
हा विषय समजला.,0
नाली का कीड़ा,1
कुछ हिस्से दोबारा देखने पड़े।,0
जानकारी सामान्य है।,0
वीडियो सामान्य है।,0
स्पष्टीकरण सोपे आहे.,0
Tujhe koi seriously nahi leta.,1
नालायक माणूस,1
Curious to see how others interpret this.,0
जानकारी स्पष्ट है।,0
भडवा,1
I noticed the point made near the end.,0
The information seems fine.,0
विषय समजतो.,0
b*kch*di,1
b**ch*d,1
Video normal lag raha hai.,0
this is not very convincing,1
tu sirf bakwaas karta rehta hai,1
What the hell is this.,1
This raises a few questions for me.,0
shit,1
बेटा चोद,1
व्हिडिओ सामान्य आहे.,0
माहिती स्पष्ट आहे.,0
Content samajhne layak hai.,0
वेगवेगळे मुद्दे इथे मांडलेले दिसतात.,0
Tu bas attention ke liye bol raha hai.,1
This ain’t it.,1
माहिती समजायला सोपी आहे.,0
Just quit already.,1
माहिती स्पष्ट दिली आहे.,0
behen ka loda,1
वेडा,1
Ye sab dekh ke irritation ho raha hai.,1
wtf,1
बेकार माणूस,1
d*uchebag,1
The topic looks simple.,0
हा व्हिडिओ ठीक आहे.,0
गा*ड फाड़,1
The video content is clear.,0
चुतिये,1
Cringe.,1
Your content is absolute shit.,1
Information is clear.,0
हा व्हिडिओ समजायला सोपा आहे.,0
चूत,1
बावळट,1
Koi itna galat hoke confident kaise ho sakta hai?,1
या विषयावर वेगवेगळ्या मतं असू शकतात.,0
Faltu.,1
The explanation was clear enough to follow.,0
माहिती नीट दिली आहे.,0
वीडियो सामान्य है।,0
दिमाग खराब,1
aur better ho sakta tha,1
Ye sab nonsense argument hai.,1
हा व्हिडिओ समजायला सोपा आहे.,0
useless fellow,1
Thoda alag perspective dekhne ko mila.,0
Ye sab dekhne ka mann hi nahi karta.,1
Explanation clear hai.,0
Bhai bas kar please.,1
Yeh sab kya faltu content hai.,1
nothing special here,1
हरामखोर,1
tu sagla spoil karto,1
The topic is understandable.,0
f**k,1
व्हिडिओ पाहायला ठीक आहे.,0
समजायला सोपे आहे.,0
व्हिडिओ पाहायला ठीक आहे.,0
Har baar same bakwas.,1
This is low effort trash.,1
काही भाग पुन्हा पाहावे लागतील.,0
गांड में डाल,1
जानकारी सामान्य है।,0
This is straight nonsense.,1
जानकारी सामान्य है।,0
f*ck,1
Not many channels talk about this topic.,0
chutiyapa,1
Shut the fuck up.,1
ये सुनकर दिमाग घूम गया।,1
f*ckboy,1
हरामखोर,1
Dimag use kar thoda.,1
जानकारी ठीक तरह से दी गई है।,0
Your logic is complete bullshit.,1
गा*ड मार,1
The topic is explained well.,0
कंटेंट सामान्य है।,0
वीडियो सामान्य है।,0
घटिया औकात,1
जानकारी समझ में आती है।,0
tu serious headache hai,1
Video ka explanation simple hai.,0
Bhai tu pura chutiya lag raha hai.,1
Concept clear hai.,0
tu ekdum useless piece aahes,1
मुँह में ले,1
माहिती उपयोगी आहे.,0
तुझ्यासारखा चुतिया मी पाहिला नाही,1
वीडियो सामान्य है।,0
Beech ka example interesting tha.,0
gadha,1
Imagine thinking this is actually good.,1
faltu baat,1
Explanation looks straightforward.,0
Ye sab mat bol.,1
Video informative lagta hai.,0
The explanation is understandable.,0
गाढव,1
I’ll probably rewatch this later.,0
आवारा,1
हा व्हिडिओ अचानक सुचवला गेला.,0
Garbage opinion.,1
वीडियो देखना आसान है।,0
This explanation is easy to follow.,0
This is the dumbest post today.,1
हरामी,1
जानकारी ठीक तरह से दी गई है।,0
nobody cares,1
Go touch grass.,1
हा व्हिडिओ माहिती देतो.,0
व्हिडिओ साधा आहे.,0
The information seems useful.,0
विषय ठीक है।,0
विषय ठीक से बताया गया है।,0
The video seems informative.,0
